Restaurants,Price,Rating,Last Visited
Pastamania,1,4,
Soup Spoon,1,3,
18 Chefs,1,4,
Hans Im Gluck,3,5,
Marche,3,5,
Mario,1,3,
Mamma Mia,2,3,
io italian osterio,3,5,
Simply Wraps,2,5,
Pita Tree,2,4,
Cha Cha Cha,3,5,
Cafe Iguana,3,5,
Guzman y Gomez,2,4,
Subway,1,4,
Pizza Hut,1,4,
Domino's,1,4,
Cafe Fufu,2,4,
Kailash Parbat,3,5,
Pita Bakery,2,3,
Stuffd,2,3,
Gastronomia,3,4,
Dip n Dip,2,5,
Burnt Cones,3,4,
Birds of Paradise,2,4,
Acoustic coffee bar Neil,2,4,
Awfully Chocolate,2,5,
Miss Gelato,2,4,
Dessert and Dessert,2,4,
Gopizza,1,4,
Milan Shokudo,1,4,
McDonalds,1,3,
Burger King,1,3,
Nasty Cookie,1,3,
Starbucks,1,4,
